"Company","High","Hour","Datetime"
"BYND","37.8","9","2022-05-02 09:55:00-04:00"
"BYND","37.99","10","2022-05-02 10:30:00-04:00"
"BYND","37.59","11","2022-05-02 11:30:00-04:00"
"BYND","37.33","12","2022-05-02 12:20:00-04:00"
"BYND","36.57","13","2022-05-02 13:05:00-04:00"
"BYND","36.95","14","2022-05-02 14:50:00-04:00"
"BYND","38.33","15","2022-05-02 15:55:00-04:00"
"BYND","24.37","16","2022-05-20 16:00:00-04:00"
"DDOG","123.34","9","2022-05-02 09:55:00-04:00"
"DDOG","122.58","10","2022-05-02 10:00:00-04:00"
"DDOG","118.99","11","2022-05-02 11:30:00-04:00"
"DDOG","120.71","12","2022-05-02 12:20:00-04:00"
"DDOG","118.53","13","2022-05-02 13:00:00-04:00"
"DDOG","118.31","14","2022-05-02 14:50:00-04:00"
"DDOG","120.65","15","2022-05-02 15:50:00-04:00"
"DDOG","94.79","16","2022-05-20 16:00:00-04:00"
"FB","210.73","9","2022-05-02 09:55:00-04:00"
"FB","210.86","10","2022-05-02 10:30:00-04:00"
"FB","209.43","11","2022-05-02 11:10:00-04:00"
"FB","207.57","12","2022-05-02 12:20:00-04:00"
"FB","204.81","13","2022-05-02 13:10:00-04:00"
"FB","205.39","14","2022-05-02 14:05:00-04:00"
"FB","211.88","15","2022-05-02 15:55:00-04:00"
"FB","193.54","16","2022-05-20 16:00:00-04:00"
"NFLX","198.6","9","2022-05-02 09:55:00-04:00"
"NFLX","200.21","10","2022-05-02 10:30:00-04:00"
"NFLX","199.45","11","2022-05-02 11:55:00-04:00"
"NFLX","199.44","12","2022-05-02 12:20:00-04:00"
"NFLX","196.09","13","2022-05-02 13:05:00-04:00"
"NFLX","196.6","14","2022-05-02 14:50:00-04:00"
"NFLX","199.66","15","2022-05-02 15:55:00-04:00"
"NFLX","186.35","16","2022-05-20 16:00:00-04:00"
"OKTA","123.35","9","2022-05-02 09:55:00-04:00"
"OKTA","123.32","10","2022-05-02 10:35:00-04:00"
"OKTA","121.76","11","2022-05-02 11:00:00-04:00"
"OKTA","123.85","12","2022-05-02 12:20:00-04:00"
"OKTA","121.7","13","2022-05-02 13:05:00-04:00"
"OKTA","121.88","14","2022-05-02 14:50:00-04:00"
"OKTA","124.0","15","2022-05-02 15:50:00-04:00"
"OKTA","124.0","15","2022-05-02 15:55:00-04:00"
"OKTA","84.22","16","2022-05-20 16:00:00-04:00"
"PINS","21.24","9","2022-05-02 09:55:00-04:00"
"PINS","21.36","10","2022-05-02 10:30:00-04:00"
"PINS","21.36","10","2022-05-02 10:35:00-04:00"
"PINS","21.41","11","2022-05-02 11:10:00-04:00"
"PINS","21.4","12","2022-05-02 12:35:00-04:00"
"PINS","21.22","13","2022-05-02 13:05:00-04:00"
"PINS","21.22","13","2022-05-02 13:30:00-04:00"
"PINS","21.49","14","2022-05-02 14:50:00-04:00"
"PINS","22.27","15","2022-05-02 15:50:00-04:00"
"PINS","22.91","16","2022-05-20 16:00:00-04:00"
"SHOP","451.0","9","2022-05-02 09:40:00-04:00"
"SHOP","448.42","10","2022-05-02 10:00:00-04:00"
"SHOP","446.1","11","2022-05-02 11:30:00-04:00"
"SHOP","445.99","12","2022-05-02 12:20:00-04:00"
"SHOP","440.2","13","2022-05-02 13:30:00-04:00"
"SHOP","439.52","14","2022-05-02 14:50:00-04:00"
"SHOP","454.14","15","2022-05-02 15:50:00-04:00"
"SHOP","363.85","16","2022-05-20 16:00:00-04:00"
"SNAP","29.54","9","2022-05-02 09:50:00-04:00"
"SNAP","29.44","10","2022-05-02 10:30:00-04:00"
"SNAP","29.24","11","2022-05-02 11:30:00-04:00"
"SNAP","29.44","12","2022-05-02 12:35:00-04:00"
"SNAP","28.97","13","2022-05-02 13:00:00-04:00"
"SNAP","28.97","13","2022-05-02 13:05:00-04:00"
"SNAP","29.01","14","2022-05-02 14:50:00-04:00"
"SNAP","29.54","15","2022-05-02 15:55:00-04:00"
"SNAP","23.26","16","2022-05-20 16:00:00-04:00"
"SQ","103.07","9","2022-05-02 09:55:00-04:00"
"SQ","103.28","10","2022-05-02 10:30:00-04:00"
"SQ","102.44","11","2022-05-02 11:55:00-04:00"
"SQ","104.22","12","2022-05-02 12:20:00-04:00"
"SQ","102.37","13","2022-05-02 13:05:00-04:00"
"SQ","102.97","14","2022-05-02 14:50:00-04:00"
"SQ","105.97","15","2022-05-02 15:55:00-04:00"
"SQ","83.44","16","2022-05-20 16:00:00-04:00"
"TTD","61.22","9","2022-05-02 09:55:00-04:00"
"TTD","61.35","10","2022-05-02 10:30:00-04:00"
"TTD","60.64","11","2022-05-02 11:30:00-04:00"
"TTD","60.98","12","2022-05-02 12:20:00-04:00"
"TTD","59.94","13","2022-05-02 13:00:00-04:00"
"TTD","59.94","13","2022-05-02 13:10:00-04:00"
"TTD","60.28","14","2022-05-02 14:50:00-04:00"
"TTD","62.12","15","2022-05-02 15:55:00-04:00"
"TTD","52.64","16","2022-05-20 16:00:00-04:00"
